Date, Open, High, Low, Close
07/14/05, 159.32, 159.32, 159.32, 159.32
07/13/05, 160.07, 160.07, 160.07, 160.07
07/12/05, 159.66, 159.66, 159.66, 159.66
07/11/05, 157.89, 157.89, 157.89, 157.89
07/08/05, 158.14, 158.14, 158.14, 158.14
07/07/05, 159.16, 159.16, 159.16, 159.16
07/06/05, 160.18, 160.18, 160.18, 160.18
07/05/05, 158.45, 158.45, 158.45, 158.45
07/01/05, 154.66, 154.66, 154.66, 154.66
06/30/05, 152.89, 152.89, 152.89, 152.89
06/29/05, 154.63, 154.63, 154.63, 154.63
06/28/05, 154.84, 154.84, 154.84, 154.84
06/27/05, 158.05, 158.05, 158.05, 158.05
06/24/05, 159.84, 159.84, 159.84, 159.84
06/23/05, 159.07, 159.07, 159.07, 159.07
06/22/05, 158.88, 158.88, 158.88, 158.88
06/21/05, 159.63, 159.63, 159.63, 159.63
06/20/05, 161.40, 161.40, 161.40, 161.40
06/17/05, 159.85, 159.85, 159.85, 159.85
06/16/05, 157.47, 157.47, 157.47, 157.47
06/15/05, 156.05, 156.05, 156.05, 156.05
06/14/05, 154.14, 154.14, 154.14, 154.14
06/13/05, 154.53, 154.53, 154.53, 154.53
06/10/05, 152.39, 152.39, 152.39, 152.39
06/09/05, 153.70, 153.70, 153.70, 153.70
06/08/05, 152.51, 152.51, 152.51, 152.51
06/07/05, 154.35, 154.35, 154.35, 154.35
06/06/05, 155.46, 155.46, 155.46, 155.46
06/03/05, 155.08, 155.08, 155.08, 155.08
06/02/05, 153.19, 153.19, 153.19, 153.19
06/01/05, 153.81, 153.81, 153.81, 153.81
05/31/05, 150.73, 150.73, 150.73, 150.73
05/27/05, 150.72, 150.72, 150.72, 150.72
05/26/05, 150.36, 150.36, 150.36, 150.36
05/25/05, 149.89, 149.89, 149.89, 149.89
05/24/05, 148.08, 148.08, 148.08, 148.08
05/23/05, 147.63, 147.63, 147.63, 147.63
05/20/05, 146.08, 146.08, 146.08, 146.08
05/19/05, 146.20, 146.20, 146.20, 146.20
05/18/05, 147.12, 147.12, 147.12, 147.12
05/17/05, 147.43, 147.43, 147.43, 147.43
05/16/05, 146.71, 146.71, 146.71, 146.71
05/13/05, 147.33, 147.33, 147.33, 147.33
05/12/05, 148.50, 148.50, 148.50, 148.50
05/11/05, 151.44, 151.44, 151.44, 151.44
05/10/05, 152.61, 152.61, 152.61, 152.61
05/09/05, 152.08, 152.08, 152.08, 152.08
05/06/05, 151.32, 151.32, 151.32, 151.32
05/05/05, 151.15, 151.15, 151.15, 151.15
05/04/05, 150.62, 150.62, 150.62, 150.62
05/03/05, 150.04, 150.04, 150.04, 150.04
05/02/05, 152.57, 152.57, 152.57, 152.57
04/29/05, 152.29, 152.29, 152.29, 152.29
04/28/05, 153.48, 153.48, 153.48, 153.48
04/27/05, 154.12, 154.12, 154.12, 154.12
04/26/05, 157.71, 157.71, 157.71, 157.71
04/25/05, 157.70, 157.70, 157.70, 157.70
04/22/05, 157.68, 157.68, 157.68, 157.68
04/21/05, 156.74, 156.74, 156.74, 156.74
04/20/05, 156.96, 156.96, 156.96, 156.96
04/19/05, 155.73, 155.73, 155.73, 155.73
04/18/05, 151.96, 151.96, 151.96, 151.96
04/15/05, 152.88, 152.88, 152.88, 152.88
04/14/05, 153.35, 153.35, 153.35, 153.35
04/13/05, 153.58, 153.58, 153.58, 153.58
04/12/05, 155.70, 155.70, 155.70, 155.70
04/11/05, 157.53, 157.53, 157.53, 157.53
04/08/05, 156.73, 156.73, 156.73, 156.73
04/07/05, 158.29, 158.29, 158.29, 158.29
04/06/05, 160.44, 160.44, 160.44, 160.44
04/05/05, 160.32, 160.32, 160.32, 160.32
04/04/05, 161.29, 161.29, 161.29, 161.29
04/01/05, 162.39, 162.39, 162.39, 162.39
03/31/05, 162.09, 162.09, 162.09, 162.09
03/30/05, 160.48, 160.48, 160.48, 160.48
03/29/05, 159.23, 159.23, 159.23, 159.23
03/28/05, 158.26, 158.26, 158.26, 158.26
03/24/05, 158.65, 158.65, 158.65, 158.65
03/23/05, 158.16, 158.16, 158.16, 158.16
03/22/05, 161.32, 161.32, 161.32, 161.32
03/21/05, 162.09, 162.09, 162.09, 162.09
03/18/05, 163.74, 163.74, 163.74, 163.74
03/17/05, 164.50, 164.50, 164.50, 164.50
03/16/05, 165.25, 165.25, 165.25, 165.25
03/15/05, 164.30, 164.30, 164.30, 164.30
03/14/05, 162.41, 162.41, 162.41, 162.41
03/11/05, 162.40, 162.40, 162.40, 162.40
03/10/05, 160.72, 160.72, 160.72, 160.72
03/09/05, 161.34, 161.34, 161.34, 161.34
03/08/05, 160.60, 160.60, 160.60, 160.60
03/07/05, 158.45, 158.45, 158.45, 158.45
03/04/05, 158.72, 158.72, 158.72, 158.72
03/03/05, 157.97, 157.97, 157.97, 157.97
03/02/05, 157.27, 157.27, 157.27, 157.27
03/01/05, 155.78, 155.78, 155.78, 155.78
02/28/05, 156.89, 156.89, 156.89, 156.89
02/25/05, 155.15, 155.15, 155.15, 155.15
02/24/05, 153.18, 153.18, 153.18, 153.18
02/23/05, 154.02, 154.02, 154.02, 154.02
02/22/05, 152.90, 152.90, 152.90, 152.90
02/18/05, 148.48, 148.48, 148.48, 148.48
02/17/05, 147.70, 147.70, 147.70, 147.70
